error,image_name,detectorType,descriptorType,matcherType,matcherTypeMetric,matcherTypeSelector,detect_time,desc_time,match_time,detect_keypoints_size,match_keypoints_size,match_removed_keypoints_size,bVis,bLimitKpts,maxKeypoints
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,337,0,1301,95,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,333,0,1361,88,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,16,337,0,1358,80,43,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,338,0,1333,90,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,341,0,1284,82,38,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,339,0,1322,79,34,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,338,0,1366,85,29,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,17,336,0,1389,86,37,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_BF,DES_BINARY,SEL_KNN,18,338,0,1339,82,29,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,15,339,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,17,338,0,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,17,339,0,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,17,344,0,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,18,339,0,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,18,343,0,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,17,338,0,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,18,340,0,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,18,338,0,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_NN,18,342,0,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,16,340,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,17,340,0,1301,95,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,16,339,0,1361,88,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,17,333,0,1358,80,43,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,18,336,0,1333,90,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,18,336,0,1284,82,38,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,17,341,0,1322,79,34,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,18,339,0,1366,85,29,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,16,339,0,1389,86,37,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_BF,DES_HOG,SEL_KNN,19,342,0,1339,82,29,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,17,343,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,18,344,2,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,19,342,2,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,17,337,2,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,19,340,1,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,16,339,2,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,19,341,2,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,17,339,1,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,18,342,1,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_NN,17,343,1,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,18,338,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,18,340,2,1301,83,42,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,18,341,2,1361,79,39,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,17,342,1,1358,73,50,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,16,343,1,1333,77,43,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,17,340,1,1284,73,47,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,18,346,1,1322,69,44,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,17,340,1,1366,79,35,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,18,342,2,1389,81,42,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_FLANN,DES_BINARY,SEL_KNN,17,340,1,1339,73,38,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,18,341,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,17,338,1,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,17,340,1,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,16,344,1,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,18,343,1,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,16,339,1,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,18,336,1,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,17,338,1,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,16,342,2,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_NN,16,339,1,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,18,337,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,17,339,2,1301,84,41,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,16,339,2,1361,79,39,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,18,344,2,1358,74,49,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,17,337,1,1333,78,42,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,18,338,2,1284,73,47,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,17,341,2,1322,71,42,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,17,341,2,1366,77,37,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,17,338,2,1389,81,42,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRISK,MAT_FLANN,DES_HOG,SEL_KNN,17,339,2,1339,73,38,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,18,6,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,16,1,0,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,17,1,0,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,18,1,0,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,16,1,0,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,17,1,0,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,21,1,0,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,16,1,0,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,15,1,0,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_NN,16,1,0,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,15,1,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,16,1,0,1301,115,10,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,15,1,0,1361,111,7,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,15,1,0,1358,104,19,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,16,1,0,1333,101,19,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,15,1,0,1284,102,18,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,16,1,0,1322,102,11,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,15,0,0,1366,100,14,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,17,1,0,1389,109,14,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_BF,DES_BINARY,SEL_KNN,15,1,0,1339,100,11,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,16,1,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,16,1,0,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,16,1,0,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,15,1,0,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,17,1,0,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,15,1,0,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,16,1,0,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,16,1,0,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,15,1,0,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_NN,15,1,0,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,19,2,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,19,1,0,1301,115,10,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,19,1,0,1361,111,7,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,18,1,0,1358,104,19,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,19,1,0,1333,101,19,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,17,1,0,1284,102,18,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,16,1,0,1322,102,11,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,17,1,0,1366,100,14,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,15,1,0,1389,109,14,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_BF,DES_HOG,SEL_KNN,15,1,0,1339,100,11,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,15,1,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,16,1,1,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,15,1,1,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,19,1,1,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,19,1,1,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,19,1,1,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,16,1,1,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,15,1,1,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,17,1,1,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_NN,16,1,1,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,18,2,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,16,2,2,1301,94,31,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,15,1,1,1361,95,23,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,15,1,1,1358,91,32,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,17,1,2,1333,89,31,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,17,1,1,1284,92,28,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,15,1,1,1322,93,20,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,15,1,1,1366,84,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,16,1,1,1389,91,32,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,15,1,1,1339,85,26,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,15,1,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,16,1,1,1301,125,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,15,1,1,1361,118,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,15,1,1,1358,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,16,1,1,1333,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,16,1,1,1284,120,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,21,1,1,1322,113,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,16,1,1,1366,114,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,15,1,1,1389,123,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_NN,21,1,1,1339,111,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,15,1,0,1370,0,0,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000001.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,16,1,1,1301,95,30,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000002.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,20,1,1,1361,93,25,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000003.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,15,1,1,1358,92,31,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000004.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,16,1,1,1333,88,32,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000005.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,20,1,1,1284,92,28,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000006.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,15,1,1,1322,92,21,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000007.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,16,1,1,1366,86,28,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000008.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,15,1,1,1389,91,32,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000009.png,SHITOMASI,BRIEF,MAT_FLANN,DES_HOG,SEL_KNN,16,1,1,1339,85,26,0,0,50
0,../images/KITTI/2011_09_26/image_00/data/0000000000.png,SHITOMASI,ORB,MAT_BF,DES_BINARY,SEL_NN,15,1,0,1370,0,0,0,0,50
